iter	Passed	Remaining
691	4009	1784
692	4014	1778
693	4020	1772
694	4025	1766
695	4031	1760
696	4036	1754
697	4042	1749
698	4048	1743
699	4053	1737
700	4058	1731
701	4064	1725
702	4069	1719
703	4075	1713
704	4080	1707
705	4086	1701
706	4092	1695
707	4097	1689
708	4103	1684
709	4108	1678
710	4114	1672
711	4120	1666
712	4125	1660
713	4131	1655
714	4137	1649
715	4143	1643
716	4148	1637
717	4154	1631
718	4159	1625
719	4165	1619
720	4170	1613
721	4176	1608
722	4181	1602
723	4187	1596
724	4192	1590
725	4198	1584
726	4203	1578
727	4209	1572
728	4214	1566
729	4219	1560
730	4225	1555
731	4232	1549
732	4238	1543
733	4244	1538
734	4250	1532
735	4255	1526
736	4261	1520
737	4266	1514
738	4272	1508
739	4277	1502
740	4283	1497
741	4289	1491
742	4295	1485
743	4302	1480
744	4307	1474
745	4313	1468
746	4318	1462
747	4324	1456
748	4329	1450
749	4335	1445
750	4340	1439
751	4346	1433
752	4351	1427
753	4357	1421
754	4362	1415
755	4368	1409
756	4374	1404
757	4379	1398
758	4384	1392
759	4390	1386
760	4396	1380
761	4402	1374
762	4407	1369
763	4413	1363
764	4418	1357
765	4424	1351
766	4430	1345
767	4435	1339
768	4440	1334
769	4446	1328
770	4452	1322
771	4457	1316
772	4463	1310
773	4469	1304
774	4475	1299
775	4480	1293
776	4486	1287
777	4491	1281
778	4498	1276
779	4504	1270
780	4509	1264
781	4515	1258
782	4520	1252
783	4526	1247
784	4531	1241
785	4537	1235
786	4542	1229
787	4548	1223
788	4554	1217
789	4559	1212
790	4565	1206
791	4571	1200
792	4576	1194
793	4582	1188
794	4588	1183
795	4593	1177
796	4598	1171
797	4604	1165
798	4610	1159
799	4615	1153
800	4621	1148
801	4627	1142
802	4632	1136
803	4638	1130
804	4643	1124
805	4649	1119
806	4655	1113
807	4660	1107
808	4666	1101
809	4672	1095
810	4677	1090
811	4683	1084
812	4689	1078
813	4694	1072
814	4699	1066
815	4705	1061
816	4711	1055
817	4716	1049
818	4722	1043
819	4728	1037
820	4733	1032
821	4739	1026
822	4744	1020
823	4749	1014
824	4755	1008
825	4760	1002
826	4766	997
827	4771	991
828	4777	985
829	4782	979
830	4788	973
831	4793	967
832	4799	962
833	4805	956
834	4810	950
835	4816	944
836	4822	939
837	4827	933
838	4833	927
839	4839	921
840	4844	915
841	4850	910
842	4855	904
843	4862	898
844	4867	892
845	4873	887
846	4879	881
847	4884	875
848	4889	869
849	4895	863
850	4900	858
851	4906	852
852	4911	846
853	4917	840
854	4922	834
855	4928	829
856	4933	823
857	4939	817
858	4944	811
859	4950	805
860	4956	800
861	4961	794
862	4967	788
863	4972	782
864	4978	777
865	4984	771
866	4989	765
867	4995	759
868	5000	753
869	5006	748
870	5012	742
871	5018	736
872	5023	730
873	5029	725
874	5035	719
875	5040	713
876	5045	707
877	5051	701
878	5057	696
879	5063	690
880	5068	684
881	5073	678
882	5079	673
883	5085	667
884	5090	661
885	5096	655
886	5102	649
887	5107	644
888	5113	638
889	5119	632
890	5124	626
891	5130	621
892	5136	615
893	5141	609
894	5147	603
895	5152	598
896	5158	592
897	5163	586
898	5169	580
899	5175	575
900	5180	569
901	5186	563
902	5191	557
903	5197	551
904	5203	546
905	5208	540
906	5214	534
907	5220	528
908	5225	523
909	5231	517
910	5236	511
911	5242	505
912	5247	500
913	5253	494
914	5258	488
915	5264	482
916	5270	477
917	5275	471
918	5281	465
919	5286	459
920	5292	453
921	5298	448
922	5303	442
923	5309	436
924	5314	430
925	5320	425
926	5326	419
927	5331	413
928	5337	407
929	5343	402
930	5349	396
931	5355	390
932	5360	384
933	5365	379
934	5371	373
935	5377	367
936	5382	361
937	5388	356
938	5394	350
939	5400	344
940	5406	338
941	5412	333
942	5417	327
943	5422	321
944	5428	315
945	5434	310
946	5439	304
947	5445	298
948	5450	292
949	5456	287
950	5462	281
951	5467	275
952	5473	269
953	5478	264
954	5484	258
955	5490	252
956	5495	246
957	5500	241
958	5506	235
959	5511	229
960	5517	223
961	5523	218
962	5529	212
963	5534	206
964	5539	200
965	5545	195
966	5551	189
967	5557	183
968	5562	177
969	5568	172
970	5573	166
971	5579	160
972	5584	154
973	5590	149
974	5595	143
975	5601	137
976	5607	132
977	5612	126
978	5618	120
979	5624	114
980	5629	109
981	5635	103
982	5641	97
983	5646	91
984	5652	86
985	5657	80
986	5663	74
987	5669	68
988	5674	63
989	5680	57
990	5685	51
991	5691	45
992	5696	40
993	5702	34
994	5708	28
995	5713	22
996	5719	17
997	5725	11
998	5731	5
999	5736	0
